feature,importance
num__CreditAmount,0.11054593276976905
num__CreditAmount_log,0.11001040812198373
num__DurationInMonth_log,0.07995313673485936
cat__Status_CheckingAccount_3,0.07771566898833361
num__DurationInMonth,0.07690532422022626
num__AgeInYears_log,0.07160580150610803
num__AgeInYears,0.07081381099260119
cat__Status_CheckingAccount_0,0.0599544199959807
num__InstallmentRate,0.03446524999259923
cat__SavingsAccount_1,0.03034793466713332
num__PresentResidenceSince,0.030200563359391003
cat__CreditHistory_0,0.02994279333408404
cat__EmploymentSince_1,0.02572035295320491
cat__Status_CheckingAccount_1,0.02282920167431618
cat__SavingsAccount_0,0.019778778535510126
cat__CreditHistory_2,0.016106808137128403
num__NumExistingCredits,0.01486822840839401
num__NumPeopleMaintenance,0.014708954210484439
cat__CreditHistory_3,0.014507183709017685
cat__CreditHistory_4,0.012992775026697814
cat__EmploymentSince_2,0.012460426007372172
cat__EmploymentSince_3,0.01134702445730753
cat__EmploymentSince_4,0.010879030336081548
cat__CreditHistory_1,0.010197701336769912
cat__SavingsAccount_2,0.007635755800915781
cat__Status_CheckingAccount_2,0.007273651107556886
cat__EmploymentSince_0,0.006748102688604725
cat__SavingsAccount_4,0.0054832375130951586
cat__SavingsAccount_3,0.004001743414473149
